Content,Paper Name,Label,Document Type,Affiliations
"Targeting amyloid-β plaques and tau tangles has failed to provide effective treatments for Alzheimer's disease and related dementias (ADRD). A more fruitful pathway to ADRD therapeutics may be the development of therapies that target common signaling pathways that disrupt synaptic connections and impede communication between neurons. In this review, we present our characterization of a signaling pathway common to several neurological diseases featuring dementia including Alzheimer's disease, frontotemporal dementia, Lewy body dementia, and Huntington's disease. This signaling pathway features the cleavage of tau by caspase-2 (Casp2) yielding Δtau314 (Casp2/tau/Δtau314). Through a not yet fully delineated mechanism, Δtau314 catalyzes the mislocalization",Targeting caspase-2 interactions with tau in Alzheimer's disease and related dementias,Lewy Body Dementia,Review,"Institute of Pharmacy, Universität Regensburg, Regensburg, Bayern, Germany; Department of Medicinal Chemistry, College of Pharmacy, Minneapolis, MN, United States; Department of Neurology, University of Minnesota Twin Cities, Minneapolis, MN, United States"
"Aims and method We aimed to establish cut-off scores to stage dementia on the Addenbrooke's Cognitive Examination-III (ACE-III) and the Mini-Addenbrooke's Cognitive Examination (M-ACE) compared with scores traditionally used with the Mini-Mental State Examination (MMSE). Our cross-sectional study recruited 80 patients and carers from secondary care services in the UK. Results A score ≤76 on the ACE-III and ≤19 on the M-ACE correlated well with MMSE cut-offs for mild dementia, with a good fit on the receiver operating characteristic analysis for both the ACE-III and M-ACE. The cut-off for moderate dementia had lower sensitivity and specificity. There were low to",Cut-off scores for mild and moderate dementia on the Addenbrooke's Cognitive Examination-III and the Mini-Addenbrooke's Cognitive Examination compared with the Mini-Mental State Examination,Lewy Body Dementia,Article,"Norfolk and Suffolk NHS Foundation Trust, Norwich, Norfolk, United Kingdom; Cambridgeshire and Peterborough NHS Foundation Trust, Cambridge, Cambridgeshire, United Kingdom; University of East Anglia, Norwich Medical School, Norwich, Norfolk, United Kingdom; University of East Anglia, Faculty of Medicine and Health Sciences, Norwich, Norfolk, United Kingdom"
"Lewy bodies (LBs), which are the hallmark pathologic features of Parkinson's disease and of dementia with LBs, have several morphologic and molecular similarities to aggresomes. Whether such cytoplasmic inclusions contribute to neuronal death or protect cells from the toxic effects of misfolded proteins remains controversial. In this report, the role of aggresomes in cell viability was addressed in the context of over-expressing α-synuclein and its interacting partner synphilin-1 using engineered 293T cells. Inhibition of proteasome activity elicited the formation of juxtanuclear aggregates with characteristics of aggresomes including immunoreactivity for vimentin, γ-tubulin, ubiquitin, proteasome subunit, and hsp70. As expected from the",Aggresomes Formed by α-Synuclein and Synphilin-1 Are Cytoprotective,Lewy Body Dementia,Article,"Genetic Pharmacology Unit, National Institute of Neurological Disorders and Stroke, Bethesda, MD, United States; Department of Neurology, Robert Wood Johnson Medical School, Piscataway, NJ, United States; Department of Neuropathology and Neuroscience, The University of Tokyo, Tokyo, Japan; Department of Parasitology, Wonkwang University, Iksan, Jeollabuk-do, South Korea; Laboratory of Medical Genetics, Ajou University School of Medicine, Suwon, Gyeonggi-do, South Korea; Department of Neurology, Robert Wood Johnson Medical School, Piscataway, NJ, United States"
"Cognitive function is defined as “the ability to know the higher properties of events based on reasoning and thinking, not on sensibility” (Kojien seventh Edition) and is divided into memory, orientation (time, place), executive function (social activities, housework), and activities of daily living (personal affairs). Age-related changes in cognitive function can be broadly divided into physiological and pathological (dementia). Dementia includes Alzheimer’s disease (AD), Lewy body dementia, frontotemporal lobar degeneration, vascular dementia, neurofibrillary tangle dementia, argyrophilic grain dementia, and limbic-predominant age-related TDP-43 encephalopathy (LATE). Among these, AD is one of the most common types of dementia. In studies that accurately",Brain and Antiaging Medicine: Age-Related Changes in Cognitive Function,Lewy Body Dementia,Book chapter,"Department of Aging Neurobiology, National Center for Geriatrics and Gerontology, Obu, Aichi, Japan"
"The blood-brain barrier (BBB) maintains brain homeostasis by controlling traffic of molecules from the circulation into the brain. This function is predominantly dependent on proteins expressed at the BBB, especially transporters and tight junction proteins. Alterations to the level and function of BBB proteins can impact the susceptibility of the central nervous system to exposure to xenobiotics in the systemic circulation with potential consequent effects on brain function. In this study, expression profiles of drug transporters and solute carriers in the BBB were assessed in tissues from healthy individuals (n = 12), Alzheimer's patients (n = 5), and dementia with",Proteomic Quantification of Human Blood-Brain Barrier SLC and ABC Transporters in Healthy Individuals and Dementia Patients,Lewy Body Dementia,Article,"Centre for Applied Pharmacokinetic Research, The University of Manchester, Manchester, Greater Manchester, United Kingdom; Biological Mass Spectrometry Core Facility, The University of Manchester, Manchester, Greater Manchester, United Kingdom; Certara, United Kingdom, Canterbury, Kent, United Kingdom"
"Background: Untreated sleep problems in both persons living with dementia (PLWD) and their family care partners (CP) impact their health and quality of life. This pilot study tested a sleep intervention program for both dyad members. Methods: Thirty dyads were randomized to a 5-session Care2Sleep intervention (n = 15 dyads) or an information-only control group (n = 15 dyads) delivered in-person or by video-telehealth by trained sleep educators. Care2Sleep is a manual-based program, incorporating key components of cognitive behavioral therapy for insomnia, daily light exposure and walking, and problem-solving for dementia-related behaviors. Adherence with Care2Sleep recommendations was assessed. Sleep outcomes",The feasibility of a sleep education program for informal dementia care dyads: A pilot randomized controlled trial,Lewy Body Dementia,Article,"School of Nursing, University of California, Los Angeles, Los Angeles, CA, United States; Geriatric Research, VA Greater Los Angeles Healthcare System, Los Angeles, CA, United States; David Geffen School of Medicine at UCLA, Los Angeles, CA, United States; School of Nursing, University of Washington, Seattle, WA, United States; Jane & Terry Semel Institute for Neuroscience & Human Behavior, Los Angeles, CA, United States; Stanford University School of Medicine, Stanford, CA, United States"
"Introduction: The biological basis of cognitive impairment in parkinsonian diseases is believed to be multifactorial. We investigated the contribution of dopamine deficiency to cognition in Parkinson disease (PD) and dementia with Lewy bodies (DLB) with dopamine transporter (DAT) imaging.Methods: We acquired 11C altropane PET, magnetic resonance imaging and cognitive testing in 19 nondemented subjects with PD, 10 DLB and 17 healthy control subjects (HCS). We analyzed DAT concentration in putamen, caudate, anterior cingulate (AC), orbitofrontal and prefrontal regions, using the Standardized Uptake Volume Ratio with partial volume correction, and we related DAT concentration and global cortical thickness to neuropsychological performance.Results:",Striatal and extrastriatal dopamine transporter levels relate to cognition in Lewy body diseases: An 11C altropane positron emission tomography study,Lewy Body Dementia,Article,"Department of Neurology, Massachusetts General Hospital, Boston, MA, United States; Massachusetts General Hospital, Boston, MA, United States; Medicine Doctora Studies, Universitat Autònoma de Barcelona, Cerdanyola del Valles, Barcelona, Spain; Department of Neurology, Massachusetts General Hospital, Boston, MA, United States; Department of Radiology, Massachusetts General Hospital, Boston, MA, United States; Massachusetts General Hospital, Boston, MA, United States"
"Progressive supranuclear palsy (PSP) is a rare, neurodegenerative movement disorder. Together with multiple system atrophy (MSA), Dementia with Lewy bodies (DLB), and corticobasal degeneration (CBD), PSP forms a group of atypical parkinsonisms. The latest diagnostic criteria, published in 2017 by the Movement Disorders Society, classify PSP diagnosis into defined, probable, and possible categories based on clinical examination. However, no single test is specific and sensitive for this disease. Microribonucleic acids (miRNAs) are promising molecules, particularly in the case of diseases that lack appropriate diagnostic and treatment tools, which supports exploring their role in PSP. We aimed to systematically review the",The Role of MicroRNAs in Progressive Supranuclear Palsy—A Systematic Review,Lewy Body Dementia,Review,"Department of Neurology, Medical University of Warsaw, Warsaw, MA, Poland; 1st Chair and Department of Cardiology, Medical University of Warsaw, Warsaw, MA, Poland; Medical University of Warsaw, Warsaw, MA, Poland"
"Dementia is any decline in cognition that is significant enough to interfere with independent, daily functioning. Dementia is best characterized as a syndrome rather than as one particular disease. The causes of dementia are myriad and include primary neurologic, neuropsychiatric, and medical conditions. It is common for multiple diseases to contribute to any one patient's dementia syndrome. Neurodegenerative dementias, like Alzheimer disease and dementia with Lewy bodies, are most common in the elderly, while traumatic brain injury and brain tumors are common causes in younger adults. While the recent decade has seen significant advancements in molecular neuroimaging, in understanding clinico-pathologic",Dementia,Lewy Body Dementia,Review,"Department of Neurology, Massachusetts General Hospital, Boston, MA, United States"
"This chapter brings together 17 narratives from those having to deal with dementia. Article 1 features a professor recounting early Alzheimer's symptoms. Article 2 discusses a GP's Alzheimer's and heart problems. Articles 3 and 4 include a neurologist's observations and reflections related to his Alzheimer's Disease. Articles 5 and 6 describe a neurologist's Parkinson's Disease (PD). Article 7 details a professor's fluctuating Parkinson's symptoms, whilst Article 8 shares a surgeon's PD experiences and effective treatment. Articles 9 and 10 see a doctor reflecting on early PD symptoms and patient-inspired insights. Article 11 provides a physician's insights on his PD's daily","Summary of ‘Neurologist faces his Alzheimer diagnosis, determined to lessen stigma surrounding the disease [Interview of Dr Gibbs by Ms Rubin]’",Lewy Body Dementia,Book chapter,
"Background: Progressive accumulation of α-synuclein (α-Syn) protein in different brain regions is a hallmark of synucleinopathic diseases, such as Parkinson's disease, dementia with Lewy bodies and multiple system atrophy. α-Syn transgenic mouse models have been developed to investigate the effects of α-Syn accumulation on behavioral deficits and neuropathology. However, the onset and progression of pathology in α-Syn transgenic mice have not been fully characterized. For this purpose we investigated the time course of behavioral deficits and neuropathology in PDGF-β human wild type α-Syn transgenic mice (D-Line) between 3 and 12 months of age.Results: These mice showed progressive impairment of motor",Time course and progression of wild type α-Synuclein accumulation in a transgenic mouse model,Lewy Body Dementia,Article,"QPS Austria GmbH, Raab, Austria; Institute of Zoology, Universität Graz, Graz, Styria, Austria; Department of Pathology, University of California, San Diego, La Jolla, CA, United States"
"Objective: This study investigated the improvement in the accuracy of diagnosis of dementia subtypes among Chinese dementia patients who underwent [18F]-2-fluoro-2-deoxy-D-glucose positron emission tomography (18FDG PET) with or without carbon 11–labelled Pittsburgh compound B (11C-PIB). Methods: This case series was performed in the Memory Clinic at Queen Mary Hospital, Hong Kong. We reviewed 109 subjects (56.9% were female) who received PET with or without11C-PIB between January 2007 and December 2014. Data including age, sex, education level, Mini-Mental State Examination score, Clinical Dementia Rating scale score, neuroimaging report, and pre-/post-imaging clinical diagnoses were collected from medical records. The agreement between the",Impact of18FDG PET and11C-PIB PET brain imaging on the diagnosis of Alzheimer’s disease and other dementias in a regional memory clinic in Hong Kong,Lewy Body Dementia,Article,"Department of Medicine, The University of Hong Kong Li Ka Shing Faculty of Medicine, Hong Kong, Hong Kong; Alzheimer's Disease Research Network, The University of Hong Kong, Hong Kong, Hong Kong"
"Introduction: Surrogate cerebrospinal fluid (CSF) biomarkers of neurodegeneration still have a central role in the first-line screening of patients with suspected Creutzfeldt-Jakob disease (CJD). Recently, CSF α-synuclein, a marker of synaptic damage, showed a close to optimal performance in distinguishing between CJD and other neurodegenerative dementias. Methods: We evaluated the diagnostic value of CSF α-synuclein in patients with prion disease, non-prion rapidly progressive dementias, and non-neurodegenerative controls. Additionally, we studied its distribution across the different prion disease subtypes and evaluated its association with survival. Results: CSF α-synuclein levels were significantly higher in patients with prion disease than in the other",Diagnostic and prognostic performance of CSF α-synuclein in prion disease in the context of rapidly progressive dementia,Lewy Body Dementia,Article,"Department of Experimental, Alma Mater Studiorum Università di Bologna, Bologna, BO, Italy; Istituto delle Scienze Neurologiche di Bologna, Bologna, Italy; Department of Neuroscience, Istituto Superiore Di Sanita, Rome, Italy; Università degli Studi di Bologna, Facoltà di Medicina e Chirurgia, Bologna, BO, Italy"
"The detection of α-synuclein (α-syn) in the cerebrospinal fluid (CSF) of patients with synucleinopathy has yielded promising but inconclusive results. The aim of the present study was to determine the diagnostic value of α-syn as a biological marker for Dementia with Lewy bodies (DLB) vs. normal subjects and patients with Alzheimer's disease (AD), after strict control of several recognized confounders. Sixteen patients with DLB, 18 patients with AD and 22 age- and sex-matched normal controls (CTRL) were recruited. The levels of total α-syn in CSF were measured using a novel enzyme-linked immunosorbent assay. There was a significant increase of CSF",The diagnostic value of CSF α-synuclein in the differential diagnosis of dementia with lewy bodies vs. Normal subjects and patients with Alzheimer's disease,Lewy Body Dementia,Article,"Department of Neurology, Eginition Hospital, Athens, Attica, Greece; Division of Basic Neurosciences, Academy of Athens, Athens, Attica, Greece"
"Inconsistencies between diagnostic criteria for different dementia aetiologies have led to the 5th edition of the Diagnostic and Statistical Disorder of Mental Disorders abandoning ‘dementia’ as a diagnostic term. Diagnostic criteria for dementia that remain are increasingly based on molecular rather than clinical features. In particular, dementias associated with fronto-temporal lobe degeneration are now classified as tau-positive or tau-negative, with specific genetic variants associated with subtypes of these two broad categories. Management guidelines for dementia in the community are well established, but this is not the case for acute hospital settings, where diagnosis can be more difficult and coexisting age-associated",Diagnosis and management of dementia in older people,Lewy Body Dementia,Review,"The University of Edinburgh, Edinburgh, Scotland, United Kingdom; Alzheimer Scotland Dementia Research Centre, The University of Edinburgh, Edinburgh, Scotland, United Kingdom"
"Introduction: Depression is common amongst people with dementia. This study examines whether locus of control (LoC), a perceived control construct influential in the coping process, is related to depressive symptoms in this population. Methods: In this prospective observational study, 257 community-dwelling older adults with a confirmed dementia diagnosis were included. At baseline, measures of depressive symptoms, LoC, cognition, independent functional ability, general health, dementia severity, and dementia disease insight were collected. At follow-up, measures of depressive symptoms and cognition were collected. Multiple linear regression using degree of depressive symptoms as measured with Montgomery-Asberg Depression Rating Scale as a dependent variable",Locus of control and its associations with depressive symptoms amongst people with dementia,Lewy Body Dementia,Article,"Sykehuset I Vestfold, Tonsberg, Norway; Department of Geriatrics, Ulleval University Hospital, Oslo, Oslo, Norway; Medisinske Fakultet, Oslo, Oslo, Norway"
"For mostly arbitrary reasons, the term ""juvenile parkinsonism"" is restricted to patients aged 20 years or younger, and ""young-onset PD"" (YOPD) is onset between ages 21 and 40 years. Previous studies suggest that YOPD has a slower disease progression and a greater incidence and earlier appearance of l-dopa-induced dyskinesias and motor fluctuations. Therefore, our therapeutic strategies have to respect the fact that YOPD patients face many years of gradual progression of disease and disability, a greater probability for developing various adverse effects of treatment, and worsening of quality of life. As an individually tailored treatment should be our primary goal,",Treatment of young-onset Parkinson's disease: role of dopamine receptor agonists,Lewy Body Dementia,Article,"Institute of Neurology, Clinical Centre of Serbia, Belgrade, Serbia"
"The diagnosis of Alzheimer's disease (AD) is often based on clinical and pathological data. Positron emission tomography (PET) using the tracer 18F-FDG revealed findings specific to AD-mainly the posterior part of the brain and the association cortices of the parietal and occipital lobes were affected by a reduction in glucose metabolism. Recent advances in the development of tracers for amyloid protein, which is the key protein in the pathogenesis of AD, enables the pattern of deposition of amyloid protein in the brain to be visualized. Various tracers have been introduced to visualize other aspects of AD pathology. Recent clinical interests",Neuroimaging in Alzheimer's disease,Lewy Body Dementia,Book chapter,"Human Brain Research Center, Graduate School of Medicine, Kyoto, Kyoto, Japan"
"The accumulation of mis-folded and/or abnormally modified proteins is a major characteristic of many neurodegenerative diseases. In Lewy body disease (LBD), which includes Parkinson's disease and dementia with Lewy bodies, insoluble α-synuclein is widely deposited in the presynaptic terminals as well as in the neuronal cytoplasm in distinct brain regions. It is well known that the autophagy-lysosome system serves as an efficient degradation pathway for abnormal molecules within cells. To test the possibility that activated autophagy can degrade abnormal molecules, we investigated the effect of trehalose on abnormal aggregation of α-synuclein in a model of LBD. Trehalose is a natural",Trehalose intake induces chaperone molecules along with autophagy in a mouse model of Lewy body disease,Lewy Body Dementia,Article,"Department of Neuropathology, Hirosaki University School of Medicine, Hirosaki, Aomori, Japan; Department of Stress Response Science, Hirosaki University School of Medicine, Hirosaki, Aomori, Japan; Department of Vascular Biology, Hirosaki University, Hirosaki, Aomori, Japan"
"An inverse correlation between the incidence of cancer and neurodegenerative disease has been observed, with the prevalence of cancer peaking around 60 years of age, then slowly tapering off as neurodegenerative diseases increase in the elderly. Although the diseases rarely occur concurrently, the same genes are differentially expressed between the diseases, with four transcription factors found to be in common for their expression. In the brain, mature astrocytes are the origin of astrocytoma, which make up 58.2% of malignant brain tumors in patients 65 or older, while GFAP+ astrocyte-like neural stem cells from the subventricular zone give rise to glioblastoma",The Astrogenic Balance in the Aging Brain,Lewy Body Dementia,Review,"Department of Biology, University of Hartford, West Hartford, CT, United States"
"Objective: Neurodegenerative and cerebrovascular conditions are common in old age and are associated with cognitive decline. However, considerable heterogeneity remains in residual decline (i.e., personspecific trajectories of cognitive decline adjusted for these common neuropathologic conditions). The present study aimed to characterize profiles of residual decline in late life cognition. Method: Up to 19 waves of longitudinal cognitive data were collected from 876 autopsied participants from 2 ongoing clinical-pathologic cohort studies of aging. Uniform neuropathologic examinations quantified measures of Alzheimer's disease, cerebral infarcts, Lewy body disease, and hippocampal sclerosis. Random effects mixture models characterized latent profiles of residual decline in global",Residual decline in cognition after adjustment for common neuropathologic conditions,Lewy Body Dementia,Article,"Department of Neurological Sciences, Rush Alzheimer’s Disease Center, Chicago, IL, United States; Department of Behavioral Sciences, Rush Alzheimer’s Disease Center, Chicago, IL, United States; Department of Medical Social Sciences, Northwestern University Feinberg School of Medicine, Chicago, IL, United States; Department of Preventive Medicine, Rush Alzheimer’s Disease Center, Chicago, IL, United States; Department of Pathology, Rush Alzheimer’s Disease Center, Chicago, IL, United States"
"Senile dementia of Lewy body type is characterized clinically by presenting symptoms such as acute/subacute fluctuating confusion and in the majority also visual hallucinations, and neuropathologically by the presence of Lewy bodies especially in archicortical areas. Progressive dementia develops in the course of the disease which shares with Alzheimer's disease a cortical cholinergic deficit, evident at autopsy. In two of four brain areas examined, parietal and temporal cortex, choline acetyltransferase activities were significantly lower in patients with, compared to those without, hallucinations (20% and 50% of the normal, respectively). These new findings suggest cholinergic mechanisms are involved in hallucinatory experiences",Cerebral cholinergic activity is related to the incidence of visual hallucinations in senile dementia of Lewy body type,Lewy Body Dementia,Article,"MRC Neurochemical Pathology Unit, Newcastle General Hospital, Newcastle Upon Tyne, Tyne and Wear, United Kingdom"
"Objectives The aim of this study was to investigate the demographic, clinical, and etiological characteristics of patients diagnosed with catatonic disorder due to another medical condition. Methods A retrospective analysis was conducted on 18 patients diagnosed with catatonic disorder due to another medical condition in a tertiary care center between 2017 and 2024. Patient demographics, underlying medical conditions, clinical features, and treatment methods were documented. Results Eighteen patients met the inclusion criteria. The most frequent underlying conditions were neurodegenerative diseases (6/18), autoimmune encephalitis (4/18), and the use of antipsychotic medications (5/18), often in the presence of comorbid neurological disorders. Commonly",Clinical and etiological characteristics of catatonic disorder due to another medical condition: A retrospective study from a tertiary care center,Lewy Body Dementia,Article,"Department of Psychiatry, İstanbul University-Cerrahpaşa Cerrahpaşa Faculty of Medicine, Istanbul, Turkey; Department of Neurology, İstanbul University-Cerrahpaşa Cerrahpaşa Faculty of Medicine, Istanbul, Turkey"
"The traditional method of classifying neurodegenerative diseases is based on the original clinico-pathological concept supported by 'consensus' criteria and data from molecular pathological studies. This review discusses first, current problems in classification resulting from the coexistence of different classificatory schemes, the presence of disease heterogeneity and multiple pathologies, the use of 'signature' brain lesions in diagnosis, and the existence of pathological processes common to different diseases. Second, three models of neurodegenerative disease are proposed: (1) that distinct diseases exist ('discrete' model), (2) that relatively distinct diseases exist but exhibit overlapping features ('overlap' model), and (3) that distinct diseases do not","On the 'classification' of neurodegenerative disorders: Discrete entities, overlap or continuum?",Lewy Body Dementia,Review,"Aston University, Birmingham, West Midlands, United Kingdom"
"The current nosological concept of α-synucleinopathies characterized by the presence of Lewy bodies (LBs) includes Parkinson’s disease (PD), Parkinson’s disease dementia (PDD), and dementia with Lewy bodies (DLB), for which the term “Lewy body disease” (LBD) has recently been proposed due to their considerable clinical and pathological overlap. However, even this term does not seem to describe the true nature of this group of diseases. The subsequent discoveries of α-synuclein (αSyn), SNCA gene, and the introduction of new immunohistochemical methods have started intensive research into the molecular-biological aspects of these diseases. In light of today’s knowledge, the role of LBs",Lewy body disease or diseases with Lewy bodies?,Lewy Body Dementia,Review,"Department of Neurology, Fakultní Nemocnice Olomouc, Olomouc, Czech Republic; Department of Neurology, Palacký University Olomouc, Olomouc, Olomouc Region, Czech Republic; Department of Pathology and Molecular Medicine, Charles University, Prague, Czech Republic; Department of Neurology, Santa Maria University Hospital, Terni, Italy; Department of Neurology and Psychiatry, University of Santo Tomas Hospital, Manila, Philippines; Department of Clinical and Molecular Pathology, Palacký University Olomouc, Olomouc, Olomouc Region, Czech Republic; Department of Clinical Genetics, Fakultní Nemocnice Olomouc, Olomouc, Czech Republic"
"Dementia is a highly prevalent syndrome with various causes, characterized by cognitive deficit in one or more domains, with important impairment of functioning, which frequently presents with neuropsychiatric symptoms that may include obsessive-compulsive symptoms. Objectives: The main goal of this meta-analysis was to describe and determine the prevalence of obsessive-compulsive symptoms in dementia. Materials and methods: To accomplish that, MEDLINE, CENTRAL and Psycnet databases were searched from inception to March 2023. The Joanna Briggs Institute Critical Appraisal Checklist for Studies Reporting Prevalence Data was applied. The principal summary measures were the mean of prevalence of obsessive-compulsive symptoms in patients with",Obsessive-compulsive symptoms in dementia: Systematic review with meta-analysis; Symptômes obsessionnels-compulsifs dans la démence : revue systématique avec méta-analyse,Lewy Body Dementia,Article,"Hospital Prof. Dr. Fernando Fonseca, Amadora, Lisbon, Portugal"
"Neuropsychiatric symptoms, such as hallucinations, are common in -neurodegenerative disorders and primarily in Parkinson's disease, where they -contribute significantly to disease morbidity and caregiver burden, -eventually -leading to early nursing home placement. As the average life expectancy in -developed nations continues on an upward trend, the incidence of -neurodegenerative disease and their neuropsychiatric complications follows in parallel. This review provides an -overview of synucleinopathies, tauopathies, prion diseases, and -heredodegenerative disorders in which visual hallucinations (VH) are -present. Epidemiological -information along with factors associated with symptom -presentation is outlined. The clinical characteristics of visual disturbances and their impact on disease -management",Visual hallucinations in neurodegenerative disorders,Lewy Body Dementia,Book chapter,"Department of Neurology, University of Miami Leonard M. Miller School of Medicine, Miami, FL, United States; Biogen Inc., Cambridge, MA, United States; College of Arts and Sciences, Coral Gables, FL, United States"
"Context.-Autopsy studies of the older population (65 years of age), and particularly of the ""oldest-old"" (85 years of age), have identified a significant proportion (~20%) of cognitively impaired patients in which hippocampal sclerosis is the major substrate of an amnestic syndrome. Hippocampal sclerosis may also be comorbid with frontotemporal lobar degeneration, Alzheimer disease, and Lewy body disease. Until recently, the terms hippocampal sclerosis of aging or hippocampal sclerosis dementia were applied in this context. Recent discoveries have prompted a conceptual expansion of hippocampal sclerosis of aging because (1) cellular inclusions of TAR DNA-binding protein 43 kDa (TDP-43) are frequent; (2)",Hippocampal sclerosis in older patients practical examples and guidance with a focus on cerebral age-related TDP-43 with sclerosis,Lewy Body Dementia,Article,"Department of Pathology and Genomic Medicine, Houston Methodist Hospital, Houston, TX, United States; Internal Medicine, Iowa City, IA, United States; Departments of Neurology, Austin, United States; Houston Methodist Hospital, Houston, TX, United States; McGovern Medical School, Houston, TX, United States; Department of Pathology, Division of Neuropathology, Pittsburgh, PA, United States; University of Kentucky College of Medicine, Lexington, KY, United States"
"Objectives: To determine if apolipoprotein E ε4 influences the frequency of Alzheimer-type pathologic features in tauopathies, synucleinopathies, and frontotemporal degeneration and to determine if the frequency of Alzheimer-type pathologic features in synucleinopathies is similar to the frequency of such features in tauopathies and frontotemporal degeneration. Methods: A total of 285 patients with pathologically proven neurodegenerative disorders, including diffuse and transitional Lewy body disease, frontotemporal degeneration, progressive supranuclear palsy, corticobasal degeneration, and multiple system atrophy, with a mean age of 75.1 ± 9.3 years, were suitable for genetic and pathological analysis. Disorders were grouped as tauopathies (progressive supranuclear palsy and corticobasal","Apolipoprotein e ε4 is a determinant for Alzheimer-type pathologic features in tauopathies, synucleinopathies, and frontotemporal degeneration",Lewy Body Dementia,Article,"Department of Neurology, Mayo Clinic, Rochester, MN, United States; Department of Neurology, Mayo Clinic in Jacksonville, Florida, Jacksonville, FL, United States; Department of Pathology, Mayo Clinic in Jacksonville, Florida, Jacksonville, FL, United States; Dementia Research Group, UCL Queen Square Institute of Neurology, London, United Kingdom; College of Medicine, Mayo Clinic, Rochester, MN, United States"
"Objective: Dopamine D2-like receptors – mainly dopamine D2 receptors (D2R) and dopamine D3 receptors (D3R) – are believed to be greatly involved in the pathology of Parkinson disease (PD) progression. However, these receptors have not been precisely examined in PD patients. Our aim was to quantitatively calculate the exact densities of dopamine D1 receptors (D1R), D2R, and D3R in control, Alzheimer disease (AD), and Lewy body disease (LBD) patients (including PD, Dementia with Lewy bodies, and Parkinson disease dementia); and analyze the relationship between dopamine receptors and clinical PD manifestations. Methods: We analyzed the densities of D1R, D2R, and D3R",Dopamine D1 + D3 receptor density may correlate with parkinson disease clinical features,Lewy Body Dementia,Article,"Department of Radiology, Washington University School of Medicine in St. Louis, St. Louis, MO, United States; Department of Neurology, Washington University School of Medicine in St. Louis, St. Louis, MO, United States; Department of Neuroscience, Washington University School of Medicine in St. Louis, St. Louis, MO, United States; Department of Physical Therapy, Washington University School of Medicine in St. Louis, St. Louis, MO, United States; Department of Occupational Therapy, Washington University School of Medicine in St. Louis, St. Louis, MO, United States"
[No abstract available] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Visual hallucinations in elderly veterans: Highlighting the issue of premature diagnosis of Lewy Body Dementia,Lewy Body Dementia,Letter,"The George Washington University School of Medicine and Health Sciences, Washington, D.C., United States; Department of Psychiatry, Washington DC VA Medical Center, Washington, D.C., DC, United States"
[No abstract available] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Do Parkinson's disease and dementia with Lewy bodies differ by route of environmental precipitant?,Lewy Body Dementia,Letter,"Department of Neurology, University of Rochester School of Medicine and Dentistry, Rochester, NY, United States"
